instance_family,instance_type,clock_speed_in_ghz,vcpu_count
p2,p2.8xlarge,2.7,32
p2,p2.xlarge,2.7,4
p3,p3.16xlarge,2.7,64
p3,p3.2xlarge,2.7,8
p3,p3.8xlarge,2.7,32
r3,r3.2xlarge,2.5,8
r3,r3.4xlarge,2.5,16
r3,r3.8xlarge,2.5,32
r3,r3.large,2.5,2
r3,r3.xlarge,2.5,4
r4,r4.16xlarge,2.3,64
r4,r4.2xlarge,2.3,8
r4,r4.4xlarge,2.3,16
r4,r4.8xlarge,2.3,32
r4,r4.large,2.3,2
r4,r4.xlarge,2.3,4
r5,r5.12xlarge,3.1,48
r5,r5.16xlarge,3.1,64
r5,r5.24xlarge,3.1,96
r5,r5.2xlarge,3.1,8
r5,r5.4xlarge,3.1,16
r5,r5.8xlarge,3.1,32
r5,r5.large,3.1,2
r5,r5.metal,3.1,96
r5,r5.xlarge,3.1,4
r5a,r5a.12xlarge,2.5,48
r5a,r5a.16xlarge,2.5,64
r5a,r5a.24xlarge,2.5,96
r5a,r5a.2xlarge,2.5,8
r5a,r5a.4xlarge,2.5,16
r5a,r5a.8xlarge,2.5,32
r5a,r5a.large,2.5,2
r5a,r5a.xlarge,2.5,4
r5ad,r5ad.12xlarge,2.2,48
r5ad,r5ad.16xlarge,2.5,64
r5ad,r5ad.24xlarge,2.2,96
r5ad,r5ad.2xlarge,2.2,8
r5ad,r5ad.4xlarge,2.2,16
r5ad,r5ad.8xlarge,2.5,32
r5ad,r5ad.large,2.2,2
r5ad,r5ad.xlarge,2.2,4
r5b,r5b.12xlarge,3.1,48
r5b,r5b.16xlarge,3.1,64
r5b,r5b.24xlarge,3.1,96
r5b,r5b.2xlarge,3.1,8
r5b,r5b.4xlarge,3.1,16
r5b,r5b.8xlarge,3.1,32
r5b,r5b.large,3.1,2
r5b,r5b.metal,3.1,96
r5b,r5b.xlarge,3.1,4
r5d,r5d.12xlarge,3.1,48
r5d,r5d.16xlarge,3.1,64
r5d,r5d.24xlarge,3.1,96
r5d,r5d.2xlarge,3.1,8
r5d,r5d.4xlarge,3.1,16
r5d,r5d.8xlarge,3.1,32
r5d,r5d.large,3.1,2
r5d,r5d.metal,3.1,96
r5d,r5d.xlarge,3.1,4
r5dn,r5dn.12xlarge,3.1,48
r5dn,r5dn.16xlarge,3.1,64
r5dn,r5dn.24xlarge,3.1,96
r5dn,r5dn.2xlarge,3.1,8
r5dn,r5dn.4xlarge,3.1,16
r5dn,r5dn.8xlarge,3.1,32
r5dn,r5dn.large,3.1,2
r5dn,r5dn.metal,3.1,96
r5dn,r5dn.xlarge,3.1,4
r5n,r5n.12xlarge,3.1,48
r5n,r5n.16xlarge,3.1,64
r5n,r5n.24xlarge,3.1,96
r5n,r5n.2xlarge,3.1,8
r5n,r5n.4xlarge,3.1,16
r5n,r5n.8xlarge,3.1,32
r5n,r5n.large,3.1,2
r5n,r5n.metal,3.1,96
r5n,r5n.xlarge,3.1,4
r6g,r6g.12xlarge,2.5,48
r6g,r6g.16xlarge,2.5,64
r6g,r6g.2xlarge,2.5,8
r6g,r6g.4xlarge,2.5,16
r6g,r6g.8xlarge,2.5,32
r6g,r6g.large,2.5,2
r6g,r6g.medium,2.5,1
r6g,r6g.metal,2.5,64
r6g,r6g.xlarge,2.5,4
r6gd,r6gd.12xlarge,2.5,48
r6gd,r6gd.16xlarge,2.5,64
r6gd,r6gd.2xlarge,2.5,8
r6gd,r6gd.4xlarge,2.5,16
r6gd,r6gd.8xlarge,2.5,32
r6gd,r6gd.large,2.5,2
r6gd,r6gd.medium,2.5,1
r6gd,r6gd.metal,2.5,64
r6gd,r6gd.xlarge,2.5,4
t2,t2.2xlarge,2.3,8
t2,t2.large,2.3,2
t2,t2.medium,2.3,2
t2,t2.micro,2.5,1
t2,t2.nano,2.4,1
t2,t2.small,2.5,1
t2,t2.xlarge,2.3,4
t3,t3.2xlarge,2.5,8
t3,t3.large,2.5,2
t3,t3.medium,2.5,2
t3,t3.micro,2.5,2
t3,t3.nano,2.5,2
t3,t3.small,2.5,2
t3,t3.xlarge,2.5,4
t3a,t3a.2xlarge,2.2,8
t3a,t3a.large,2.2,2
t3a,t3a.medium,2.2,2
t3a,t3a.micro,2.2,2
t3a,t3a.nano,2.2,2
t3a,t3a.small,2.2,2
t3a,t3a.xlarge,2.2,4
t4g,t4g.2xlarge,2.5,8
t4g,t4g.large,2.5,2
t4g,t4g.medium,2.5,2
t4g,t4g.micro,2.5,2
t4g,t4g.nano,2.5,2
t4g,t4g.small,2.5,2
t4g,t4g.xlarge,2.5,4
x1,x1.16xlarge,2.3,64
x1,x1.32xlarge,2.3,128
x1e,x1e.16xlarge,2.3,64
x1e,x1e.2xlarge,2.3,8
x1e,x1e.32xlarge,2.3,128
x1e,x1e.4xlarge,2.3,16
x1e,x1e.8xlarge,2.3,32
x1e,x1e.xlarge,2.3,4
z1d,z1d.12xlarge,4.0,48
z1d,z1d.2xlarge,4.0,8
z1d,z1d.3xlarge,4.0,12
z1d,z1d.6xlarge,4.0,24
z1d,z1d.large,4.0,2
z1d,z1d.metal,4.0,48
z1d,z1d.xlarge,4.0,4
